DB file ID,Turbo,Rating,Origin,Year,Decade,Mass,Model,Version,RefCount,Author,Class,vehFile,Type,Aero,Aids,F/R/4WD,originalFolder,Continent,Manufacturer,Category,Scene Description,GraphicDetailsFactor,URL,Gearshift,AIstrengthFactor,tType,Name,ID,Country,Flags,MinVersion,Track Name
AM_FIAGT3_2012_MP412CGT3,1,,1,2012,2010-,1340,Fia Mp412C,1.05,1,Apex Modding,GT3,12_MRS_14.VEH,2,1,,REAR,Installed\vehicles\AM_FIAGT3_2012_MP412CGT3\1.05,,McLaren,3,,,,Paddles,,GT,AM_FIAGT3_2012_MP412CGT3,,,270536704,,
AM_FIAGT3_2012_SLSAMG,0,,1,2012,2010-,1325,Fia Slsamg,1.05,1,Apex Modding,GT3,ADAC_12_HHM_65.VEH,2,1,,REAR,Installed\vehicles\AM_FIAGT3_2012_SLSAMG\1.05,,Mercedes,3,,,,Paddles,,GT,AM_FIAGT3_2012_SLSAMG,,,270536704,,
AM_FIAGT3_2012_Z06R,0,,1,2012,2010-,1310,Fia Z06R,1.05,1,Apex Modding,GT3,08_MCR_01.VEH,2,1,,REAR,Installed\vehicles\AM_FIAGT3_2012_Z06R\1.05,,Corvette,3,,,,Paddles,,GT,AM_FIAGT3_2012_Z06R,,,270536704,,
AM_FIAGT3_2012_Z4GT3,0,,1,2012,2010-,1330,Fia Z4,1.05,1,Apex Modding,GT3,Z4_GT3_SFS_01.VEH,2,1,,REAR,Installed\vehicles\AM_FIAGT3_2012_Z4GT3\1.05,,BMW,3,,,,Paddles,,GT,AM_FIAGT3_2012_Z4GT3,,,270536704,,
AM_FIAGT3_2015_bentleyGT3,1,,1,2015,2010-,1395,Fia Bentley,1.05,1,Apex Modding,GT3,BGT3_BMSP_85.VEH,2,1,,REAR,Installed\vehicles\AM_FIAGT3_2015_bentleyGT3\1.05,,Bentley,3,,,,Paddles,,GT,AM_FIAGT3_2015_bentleyGT3,,,270536704,,
ASR_OWC_1991_020,0,,1,1991,1990-,580,Owc 020,2,1,ASR Formula,,020_03.VEH,2,1,,REAR,Installed\vehicles\ASR_OWC_1991_020\2.0,,Asr,6,,,www.asrformula.com,Paddles,,Open,ASR_OWC_1991_020,,,270536704,,
ASR_OWC_1991_643,0,,1,1991,1990-,580,Owc 643,2,1,ASR Formula,,643_27.VEH,2,1,,REAR,Installed\vehicles\ASR_OWC_1991_643\2.0,,Asr,6,,,www.asrformula.com,Paddles,,Open,ASR_OWC_1991_643,,,270536704,,
ASR_OWC_1991_B191,0,,1,1991,1990-,580,Owc B191,2,1,ASR Formula,,B191_19.VEH,2,1,,REAR,Installed\vehicles\ASR_OWC_1991_B191\2.0,,Benetton,6,,,www.asrformula.com,Paddles,,Open,ASR_OWC_1991_B191,,,270536704,,
ASR_OWC_1991_FW14,0,,1,1991,1990-,580,Owc Fw14,2,1,ASR Formula,,FW14_06.VEH,2,1,,REAR,Installed\vehicles\ASR_OWC_1991_FW14\2.0,,Williams,6,,,www.asrformula.com,Paddles,,Open,ASR_OWC_1991_FW14,,,270536704,,
ASR_OWC_1991_J191,0,,1,1991,1990-,580,Owc J191,2,1,ASR Formula,,J191_32.VEH,2,1,,REAR,Installed\vehicles\ASR_OWC_1991_J191\2.0,,Asr,6,,,www.asrformula.com,Paddles,,Open,ASR_OWC_1991_J191,,,270536704,,
