# Name xxxxx.scn pairs for each track file
# Generated manually

#Track name	# Probable .SCN file name
3PA_Bathurst_2014	BATHURST_FULL
LimeRockPark_2012	LIMEROCKPARK_ALLCHICANES
LimeRockPark_2012	LIMEROCKPARK_NOCHICANES
LimeRockPark_2012	LIMEROCKPARK_RC
LimeRockPark_2012	LIMEROCKPARK_UPHILLCHICANE
LimeRockPark_2012	LIMEROCKPARK_WESTBENDCHICANE
Longford_1967	LONGFORD_1967
Magnificent_Park_v098	MAGPARK_END
Magnificent_Park_v098	MAGPARK_ENDURO
Magnificent_Park_v098	MAGPARK_INT
Magnificent_Park_v098	MAGPARK_NAT
MagnyCours_GP	MAGNYCOURS
Malaysia_2007	MALAYSIA_NLOOP
Malaysia_2007	MALAYSIA_SLOOP
Malaysia_2007	MALAYSIAN_GP
MidOhio_Virtua_LM	MIDOHIO_VIRTUA_LM_CHICANE
MidOhio_Virtua_LM	MIDOHIO_VIRTUA_LM_MI200
MidOhio_Virtua_LM	MIDOHIO_VIRTUA_LM_NOCHICANE
MillsMetro_2011	MILLS_INNERLOOPA
MillsMetro_2011	MILLS_INNERLOOPB
MillsMetro_2011	MILLS_INNERLOOPC
MillsMetro_2011	MILLS_OUTERLOOPA
MillsMetro_2011	MILLS_OUTERLOOPB
MillsMetro_2011	MILLS_OUTERLOOPC
MonteCarlo_1966	MONTECARLO
MonteCarlo_1966	MONTECARLO_1966
Mores_2013	MORES
Mores_2013	MORESSHORT
Mosport (CTMP)	CTMP
Mugello Circuit	MUGELLO
Mugello Circuit	MUGELLO_GP
NolaMP_2016	NOLAMP_KT_A
NolaMP_2016	NOLAMP_KT_B
NolaMP_2016	NOLAMP_KT_C
NolaMP_2016	NOLAMP_KT_D
NolaMP_2016	NOLAMP_KT_E
NolaMP_2016	NOLAMP_RT_A
NolaMP_2016	NOLAMP_RT_B
NolaMP_2016	NOLAMP_RT_C
NolaMP_2016	NOLAMP_RT_D
NolaMP_2016	NOLAMP_RT_INDYCAR
Nordschleife2	NORDSCHLEIFE2_24HOUR
Nordschleife2	NORDSCHLEIFE2_TOURIST_AUTUMN
Nordschleife2	NORDSCHLEIFE2_TOURIST_SUMMER
Nordschleife2	NORDSCHLEIFE2_VLN
Norisring	NORISRING
NuerburgRing	NUERBURG_GPL
NuerburgRing	NUERBURG_GPS
Oulton_Park_Circuit_2015	OULTONPARK_FOS
Oulton_Park_Circuit_2015	OULTONPARK_INT
Oulton_Park_Circuit_2015	OULTONPARK_INTNC
Oulton_Park_Circuit_2015	OULTONPARK_INTNC_DRS
Oulton_Park_Circuit_2015	OULTONPARK_ISL
PalmBeach_2012	PALMBEACHKART
PalmBeach_2012	PALMBEACHRC
Phillip Island	PI_2013
Portimao	PORTIMAO_C1
Portimao	PORTIMAO_C6
Portugal_2009	PORTUGAL_GP
Portugal_2009	PORTUGAL_GT
QuebecSuperKart_2011	QUEBECKART_RT1
QuebecSuperKart_2011	QUEBECKART_RT2
QuebecSuperKart_2011	QUEBECKART_RT3
QuebecSuperKart_2011	QUEBECKART_RT4
RaceRfactor_Barcelona_2013	BARCELONA_GP
RaceRfactor_Hungaroring_2013	HUNGRIA
RaceRfactor_Melbourne_2013	MELBOURNE_2013GP
RaceRfactor_Monaco_2013	MONACO_GP
RaceRfactor_Montreal_2013	MONTREAL_GP
RaceRfactor_Monza_2014	MONZA_ACCD
RaceRfactor_Monza_2014	MONZA_GP
RaceRfactor_Monza_2014	MONZA_SRE
RaceRfactor_Spa_2013	SPA-FRANCORCHAMPS
Road America 2016	RA2016
Road America 2016	RA2016_ANMS
RoadAtlanta2017	RA
Sachsenring_GP	SACHSENRING_GP
Salzburgring_2016	SALZBURGRING
SaoPaulo_2013	SAOPAULOGP
Sebring_Virtua_LM	SEBRING_VIRTUA_LM_12H
Sebring_Virtua_LM	SEBRING_VIRTUA_LM_12H_LE
Sebring_Virtua_LM	SEBRING_VIRTUA_LM_CLUB
Sebring_Virtua_LM	SEBRING_VIRTUA_LM_MODIFIED
Silverstone90s	SILVERSTONE90S
Silverstone_2016	SILVERSTONE_GTLAYOUT
Silverstone_2016	SILVERSTONE_INTERNATIONAL
Silverstone_2016	SILVERSTONE_NATIONAL
SMVLM_RoadAmerica	ROADAMERICA_FULL
sm_Aspen_v0.1	BUSH_CREEK_SPRINT
sm_Autodromo_di_Imola_v1.2	AUTODROMO_DI_IMOLA_DRS
sm_Autodromo_di_Imola_v1.2	AUTODROMO_DI_IMOLA_ENDURANCE
sm_Autodromo_di_Imola_v1.2	AUTODROMO_DI_IMOLA_GP
sm_Circuito_de_Jerez_dd	CIRCUITO_DE_JEREZ_CHICANE
sm_Circuito_de_Jerez_dd	CIRCUITO_DE_JEREZ_GP
sm_Donington_Park_v1.3	DONINGTON_PARK
sm_Donington_Park_v1.3	DPARK_GP_CIRCUIT
sm_Donington_Park_v1.3	DPARK_NATIONAL_CIRCUIT
sm_Kyalami_Legends_v1.01LE	KYALAMI_LEGENDS
sm_Kyalami_Legends_v1.01LE	KYALAMI_LEGENDS_GP
sm_Misano_World_Circuit_v1.11	MISANO_WORLD_CIRCUIT
sm_Misano_World_Circuit_v1.11	MWC
sm_Red_Bull_Ring_v1.3	RED_BULL_RING
sm_Red_Bull_Ring_v1.3	RED_BULL_RING_GP
sm_Red_Bull_Ring_v1.3	RED_BULL_RING_NATIONAL
sm_Ring_Knutstorp_v1.0	RING_KNUTSTORP
sm_Ring_Knutstorp_v1.0	RING_KNUTSTORP_MOTORBANA
sm_Silverstone_Legends_v1.4	SILVERSTONE_GP_[1975]
sm_Silverstone_Legends_v1.4	SILVERSTONE_LEGENDS
sm_Singapore_v0.11	SINGAPORE_GP
sm_Snetterton_v1.02	SNETT_100
sm_Snetterton_v1.02	SNETT_200
sm_Snetterton_v1.02	SNETT_300
sm_Spielberg_Historic_v0.09	SPIELBERG_HIST_GP
sm_Spielberg_Historic_v0.09	SPIELBERG_HISTORIC
Sydney Motorsport Park - Eastern Creek	ESTERNCREEK_GARDNER
Thruxton	THRUXTON
TobanRP_2016	TOBAN_LONG
TobanRP_2016	TOBAN_LONG_24
TobanRP_2016	TOBAN_LONG_REV
TobanRP_2016	TOBAN_MEDIUM
TobanRP_2016	TOBAN_MEDIUM_REV
TobanRP_2016	TOBAN_SHORT
TobanRP_2016	TOBAN_SHORT_REV
VIR_v085	VIR_COLL
VIR_v085	VIR_FULL
VIR_v085	VIR_GRAND
VIR_v085	VIR_NORTH
VIR_v085	VIR_PATRIOT
VIR_v085	VIR_PATRIOTREV
VIR_v085	VIR_SOUTH
VLM_Rouen-Les-Essarts_sj.dd	ROUEN
Watkins_Glen_2016	WATKINSGLEN_CHICANE
Watkins_Glen_2016	WATKINSGLEN_FULL
Watkins_Glen_2016	WATKINSGLEN_NASCAR
Watkins_Glen_International	WATKINS_GLEN_BOOT
Watkins_Glen_International	WATKINS_GLEN_BOOT_END
Watkins_Glen_International	WATKINS_GLEN_BOOT_NC
Watkins_Glen_International	WATKINS_GLEN_BOOT_NC_END
Watkins_Glen_International	WATKINS_GLEN_SHORT
Watkins_Glen_International	WATKINS_GLEN_SHORT_END
Watkins_Glen_International	WATKINS_GLEN_SHORT_NC
Watkins_Glen_International	WATKINS_GLEN_SHORT_NC_END
Zandvoort_2017	LAYOUTCLUB
Zandvoort_2017	LAYOUTEAST
Zandvoort_2017	LAYOUTGP
Zandvoort_2017	LAYOUTGPCHICANE
Zandvoort_2017	LAYOUTNATIONAL
Zolder2016	MAIN
Zolder79	ZOLDER79
